Date,Close
1/4/2010 16:00,59.41
1/5/2010 16:00,59.23
1/6/2010 16:00,60
1/7/2010 16:00,59.71
1/8/2010 16:00,59.28
1/11/2010 16:00,59.35
1/12/2010 16:00,59.03
1/13/2010 16:00,59.4
1/14/2010 16:00,58.72
1/15/2010 16:00,58.79
1/19/2010 16:00,58.95
1/20/2010 16:00,58.27
1/21/2010 16:00,57.52
1/22/2010 16:00,57.07
1/25/2010 16:00,57.55
1/26/2010 16:00,57.93
1/27/2010 16:00,57.53
1/28/2010 16:00,57.35
1/29/2010 16:00,57.43
2/1/2010 16:00,57.91
2/2/2010 16:00,58.77
2/3/2010 16:00,58.42
2/4/2010 16:00,58.52
2/5/2010 16:00,58.58
2/8/2010 16:00,58.14
2/9/2010 16:00,58.76
2/10/2010 16:00,59.15
2/11/2010 16:00,59.67
2/12/2010 16:00,59.28
2/16/2010 16:00,60.67
2/17/2010 16:00,61.05
2/18/2010 16:00,60.96
2/19/2010 16:00,61.14
2/22/2010 16:00,60.79
2/23/2010 16:00,60.51
2/24/2010 16:00,60.86
2/25/2010 16:00,61.4
2/26/2010 16:00,60.97
3/1/2010 16:00,61.65
3/2/2010 16:00,61.38
3/3/2010 16:00,60.68
3/4/2010 16:00,60.8
3/5/2010 16:00,60.68
3/8/2010 16:00,60.67
3/9/2010 16:00,60.13
3/10/2010 16:00,59.84
3/11/2010 16:00,59.9
3/12/2010 16:00,60.17
3/15/2010 16:00,60.55
3/16/2010 16:00,60.91
3/17/2010 16:00,61.33
3/18/2010 16:00,61.27
3/19/2010 16:00,60.72
3/22/2010 16:00,60.88
3/23/2010 16:00,60.76
3/24/2010 16:00,60.07
3/25/2010 16:00,60.05
3/26/2010 16:00,60.13
3/29/2010 16:00,60.14
3/30/2010 16:00,60.17
3/31/2010 16:00,59.71
4/1/2010 16:00,60.14
4/5/2010 16:00,60.82
4/6/2010 16:00,61.74
4/7/2010 16:00,61.72
4/8/2010 16:00,60.98
4/9/2010 16:00,61.21
4/12/2010 16:00,60.35
4/13/2010 16:00,59.89
4/14/2010 16:00,59.62
4/15/2010 16:00,59.03
4/16/2010 16:00,59.19
4/19/2010 16:00,59.47
4/20/2010 16:00,59.49
4/21/2010 16:00,59.51
